37,13,3
9,41,2
36,43,2
90,7,2
80,3,2
58,43,2
90,34,2
71,45,3
18,43,3
60,26,2
3,5,3
55,44,3
8,33,4
67,46,4
97,21,3
0,3,2
53,48,3
48,33,1
42,41,3
49,42,4
92,18,4
26,0,3
19,41,4
39,17,1
18,14,2
56,27,4
75,22,2
57,8,3
78,26,1
66,10,3
35,10,4
5,2,3
36,50,3
70,25,1
82,1,1
54,26,4
25,12,4
43,32,2
67,39,3
94,21,2
52,5,4
56,45,1
88,25,3
18,34,3
48,11,2
100,26,2
40,48,3
22,2,3
81,31,3
63,46,1
81,19,2
12,9,2
6,36,1
80,35,2
78,10,3
88,17,3
59,33,3
54,16,3
56,12,2
81,9,3
94,7,2
1,51,4
73,17,3
9,48,3
59,38,3
3,6,2
23,5,3
8,46,2
91,33,1
6,9,1
59,31,3
40,22,2
26,33,2
91,31,3
35,19,2
75,14,1
45,46,1
91,12,4
69,35,4
33,42,3
8,44,1
26,44,1
58,10,1
60,7,3
38,45,1
66,32,2
56,16,4
91,42,2
55,50,1
35,41,2
48,7,2
77,40,2
43,0,2
35,4,1
46,23,4
29,27,3
99,12,3
64,48,5
19,14,1
43,12,2
73,35,2
22,7,2
84,23,3
36,10,3
75,1,1
22,6,2
31,7,1
41,50,2
48,31,3
59,29,1
69,1,3
69,20,2
0,43,2
36,17,3
94,36,1
5,27,1
23,34,3
43,19,2
76,42,1
1,31,2
14,44,4
88,8,3
27,42,2
11,5,4
32,33,3
69,48,1
37,37,2
80,41,2
72,16,1
8,10,3
63,23,1
34,50,2
85,11,2
93,5,5
71,12,4
75,23,2
82,7,3
72,10,4
55,23,3
0,29,2
24,30,4
76,22,4
0,20,1
7,26,4
46,26,2
93,27,4
74,35,2
80,34,3
82,34,4
35,17,2
27,31,3
47,29,4
46,11,2
99,10,3
61,16,3
33,51,4
25,39,3
53,44,1
69,8,3
32,23,2
4,24,2
41,25,3
72,4,1
32,46,4
5,23,4
92,14,4
100,20,3
98,12,2
75,7,1
5,9,2
57,26,4
5,41,2
53,5,4
6,1,1
95,30,4
57,43,2
82,24,1
82,0,3
21,17,4
46,12,4
20,32,3
36,37,2
8,37,1
37,4,1
64,41,4
18,7,2
67,33,2
56,18,5
72,42,3
14,45,4
61,48,3
11,18,2
43,5,2
16,36,3
44,12,3
3,46,3
30,22,4
78,33,3
77,26,1
3,0,2
40,50,2
86,45,2
0,8,5
93,34,2
82,4,1
69,11,4
7,37,2
70,16,1
66,2,3
3,22,3
79,17,3
42,10,1
1,50,2
26,18,3
34,13,2
61,40,2
70,11,3
12,41,5
100,41,3
20,38,4
73,39,3
18,44,2
88,48,1
62,34,2
67,11,1
73,5,2
56,20,2
99,9,1
41,3,4
63,43,2
13,9,2
80,19,3
48,43,2
82,8,3
50,6,3
81,11,3
53,7,4
95,14,4
